cause,effect
Hypoglycemic symptoms,Extremely low blood sugar content
Unspecified blood glucose measurement,Normal blood sugar content
Unspecified blood glucose measurement,High blood sugar content
Unspecified blood glucose measurement,Extremely high blood sugar content
Less-than-usual meal ingestion,Extremely low blood sugar content
NPH insulin dose,Extremely low blood sugar content
Pre-breakfast blood glucose measurement,Normal blood sugar content
Pre-breakfast blood glucose measurement,High blood sugar content
Pre-breakfast blood glucose measurement,Extremely high blood sugar content
Regular insulin dose,Extremely low blood sugar content
UltraLente insulin dose,Extremely low blood sugar content
Typical meal ingestion,Extremely low blood sugar content
Pre-supper blood glucose measurement,Normal blood sugar content
Pre-supper blood glucose measurement,High blood sugar content
Pre-supper blood glucose measurement,Extremely high blood sugar content
Pre-lunch blood glucose measurement,Normal blood sugar content
Pre-lunch blood glucose measurement,Extremely high blood sugar content
Pre-lunch blood glucose measurement,High blood sugar content